DATA,ORDEM,TIPO_DE_AT,APARELHO,MARCA,TECNICO,STATUS,PECA_RECEBIDA,PRONTO,SAIDA,CONSERTADO
09-12-2022,1516,FB,Robo,Wap,Thiago,Concluído,0,14-09-2022,15-09-2022,Sim
09-12-2022,1517,FON,Ar Condicionado,,,,0,0,0,Não
09-12-2022,1518,FON,Ar Condicionado,,,CANCELADO,0,0,02-02-2023,NÃO
13-09-2022,1519,GB,Robo,Wap,Thiago,Concluído,19-09-2022,20-09-2022,23-09-2022,Sim
13-09-2022,1520,FON,Lavadora,Panasonic,Cvg,Concluído,0,15-09-2022,15-09-2022,Sim
13-09-2022,1521,FON,Ar Condicionado,Midea,,CANCELADO,0,0,10-11-2022,Não
13-09-2022,1522,GB,Robo,Wap,Thiago,Concluído,19-09-2022,20-09-2022,23-09-2022,Sim
13-09-2022,1523,GB,Robo,Midea,Patrick,Concluído,0,21-09-2022,23-09-2022,Sim
13-09-2022,1524,GB,Robo,Midea,Patrick,SEM DEFEITO,0,0,28-09-2022,Não
,1525,GB,Robo,Midea,Patrick,Concluído,0,21-09-2022,22-09-2022,Sim
13-09-2022,1526,GB,Microondas,Midea,Luiz,Concluído,0,14-09-2022,20-09-2022,Sim
13-09-2022,1527,GB,Microondas,Midea,Luiz,Concluído,28-09-2022,28-09-2022,10-03-2022,Sim
13-09-2022,1528,FB,Robo,Wap,Thiago,Concluído,0,19-09-2022,21-09-2022,Sim
13-09-2022,1529,GON,Refrigerador,Panasonic,Cvg,,22-09-2022,0,0,Não
13-09-2022,1530,GON,Lavadora,Panasonic,Cvg,CANCELADO,0,0,22-09-2022,NÃO
14-09-2022,1531,GON,Cooktop,Midea,Cvg,SEM DEFEITO,0,0,15-09-2022,Não
14-09-2022,1532,GON,Refrigerador,Panasonic,Alex,Concluído,0,20-09-2022,20-09-2022,Sim
14-09-2022,1533,GON,Congelador Horizontal,Midea,Alex,Concluído,0,16-09-2022,16-09-2022,Sim
14-09-2022,1534,GS,Refrigerador,Panasonic,Cvg,Concluído,0,10-10-2022,24-10-2022,Sim
14-09-2022,1535,GON,Refrigerador,Panasonic,Cvg,Concluído,26-09-2022,10-11-2022,10-11-2022,Sim
14-09-2022,1536,GON,Lavadora,Panasonic,Cvg,Concluído,21-09-2022,15-09-2022,15-09-2022,Sim
