DATA,TIPO DE AT.,APARELHO,MARCA,TECNICO,STATUS,PEÇA RECEBIDA,PRONTO,SAÍDA,CONSERTADO?
09-01-2023,GON,Lava E Seca,Midea,Osiel,Concluído,0,15-02-2023,15-02-2023,Sim
10-01-2023,FB,Robo,Wap,0,0,0,0,0,0
10-01-2023,GON,Lavadora,Panasonic,Osiel-Jacleilson-Cvg,Concluído,24-01-2023,02-02-2023,02-02-2023,Sim
10-01-2023,GON,Lavadora,Panasonic,Osiel / Jacleilson,23/01- Aberto Sat,30-01-2023,02-02-2023,02-02-2023,Sim
10-01-2023,GON,Lava E Seca,Midea,Osiel,Concluído,0,11-01-2023,11-01-2023,Sim
10-01-2023,FON,Lava Louças,Panasonic,Jacleilson,Concluído,0,16-01-2023,16-01-2023,Sim
10-01-2023,GB,Robo,Wap,Thiago,Concluído,0,27-01-2023,01-02-2023,Sim
10-01-2023,GON,Lavadora,Panasonic,Cvg,Concluído,0,13-01-2023,13-01-2023,Sim
10-01-2023,GON,Lavadora,Panasonic,Osiel / Jacleilson,Concluído,0,11-01-2023,11-01-2023,Sim
10-01-2023,FB,Robo,Wap,Thiago,Sem Conserto,0,0,19-01-2023,Não
10-01-2023,GON,Lava E Seca,Midea,Osiel,Concluído,0,17-01-2023,17-01-2023,Não
10-01-2023,GB,Robo,Midea,Thiago,Concluído,25-01-2023,25-01-2023,01-02-2023,Sim
10-01-2023,GON,Lavadora,Panasonic,Osiel / Jacleilson,Concluído,18-01-2023,11-01-2023,11-01-2023,Sim
11-01-2023,GON,Lavadora,Panasonic,Cvg,Garantia Negada,0,0,13-01-2023,Não
11-01-2023,FB,Panela,Midea,Thiago,Concluído,0,16-01-2023,17-01-2023,Sim
11-01-2023,GON,Refrigerador,Panasonic,Cvg,Concluído,0,12-01-2023,12-01-2023,Sim
11-01-2023,FB,Adega,Midea,Luan,Sem Defeito,0,0,16-01-2023,Não
11-01-2023,GON,Refrigerador,Panasonic,Osiel / Jacleilson,Concluído,18-01-2023,19-01-2023,19-01-2023,Sim
11-01-2023,GON,Refrigerador,Panasonic,Cvg,Concluído,0,13-01-2023,13-01-2023,Sim
11-01-2023,GON,Lava E Seca,Midea,0,0,0,0,0,0
11-01-2023,GON,Lava E Seca,Midea,Cvg,Concluído,0,12-01-2023,12-01-2023,Sim
11-01-2023,GON,Lava E Seca,Midea,0,Cancelado,0,0,12-01-2023,Não
11-01-2023,GON,Lava E Seca,Midea,Jacleilson,Concluído,16-01-2023,19-01-2023,19-01-2023,Sim
11-01-2023,GON,Lava E Seca,Midea,Osiel/Jacleilson,12/01/2023,0,12-01-2023,12-01-2023,Sim
12-01-2023,GON,Refrigerador,Panasonic,Osiel/Jacleilson,Concluído,0,12-01-2023,12-01-2023,Sim
12-01-2023,GB,Microondas,Midea,Luan / Robson,Concluído,25-01-2023,26-01-2023,02-02-2023,Sim
12-01-2023,GON,Refrigerador,Panasonic,Osiel / Jacleilson,Concluído,0,13-01-2023,13-01-2023,Sim
12-01-2023,GON,Lavadora,Panasonic,Cvg,Concluído,0,16-01-2023,16-01-2023,Sim
12-01-2023,GON,Refrigerador,Panasonic,Cvg,Concluído,0,13-01-2023,13-01-2023,Sim
12-01-2023,GB,Robo,Wap,Thiago,Concluído,24-01-2023,26-01-2023,07-02-2023,Sim
12-01-2023,FB,Cooktop,Panasonic,0,Sem Conserto,0,0,10-05-2023,Não
12-01-2023,FB,Aspirador,Midea,Mateus,Concluído,0,26-01-2023,06-02-2023,Sim
13-01-2023,GB,Robo,Wap,Robson,Concluído,0,13-01-2023,16-01-2023,Sim
13-01-2023,FON,Ar Condicionado,Fujitsu,0,0,0,0,0,0
13-01-2023,GB,Fritadeira,Midea,Thiago,Concluído,0,13-01-2023,25-01-2023,Sim
13-01-2023,GON,Refrigerador,Panasonic,"Jacleilson, Osiel E Cvg",Concluído,0,26-01-2023,26-01-2023,Sim
13-01-2023,GB,Robo,Wap,Thiago,Concluído,18-01-2023,19-01-2023,23-01-2023,Sim
13-01-2023,GB,Robo,Midea,Mateus,Concluído,31-01-2023,01-02-2023,10-02-2023,Sim
13-01-2023,GB,Robo,Wap,Thiago,Concluído,23-01-2023,24-01-2023,27-01-2023,Sim
13-01-2023,FON,Lava E Seca,Midea,Jacleilson,Concluído,0,16-01-2023,16-01-2023,Sim
13-01-2023,GON,Lava E Seca,Midea,Osiel,Cancelada,0,0,03-04-2023,Não
16-01-2023,GON,Refrigerador,Panasonic,Cvg,Concluído,0,17-01-2023,17-01-2023,Sim
16-01-2023,GON,Lava E Seca,Midea,Osiel,Concluído,0,17-01-2023,17-01-2023,Não
16-01-2023,GON,Refrigerador,Panasonic,Cvg,Concluído,23-01-2023,01-02-2023,01-02-2023,Sim
