DATA,TIPO DE AT.,APARELHO,MARCA,STATUS,PECA_RECEBIDA,PRONTO,SAIDA,CONSERTADO,TECNICO
24-01-2018,ON SITE,Ar Condicionado,Springer/Midea,Concluído,0,16-02-2018,16-02-2018,Sim,
01-11-2018,BALCÃO,Ntb,Positivo,Concluído,0,30-01-2018,02-02-2018,Sim,
24-01-2018,ON SITE,Ar Condicionado,Springer/Midea,Concluído,0,26-01-2018,26-01-2018,Sim,
01-11-2018,BALCÃO,Celular,Positivo,Concluído,0,16-01-2018,17-01-2018,Sim,
26-01-2018,ON SITE,Ar Condicionado,Springer/Midea,Cancelada,0,0,0,Não,
01-11-2018,BALCÃO,Ntb,Positivo,Concluído,0,22-01-2018,14-02-2018,Sim,
26-01-2018,ON SITE,Desk,Daten,Concluído,0,30-01-2018,30-01-2018,Sim,
01-12-2018,ETICKET,Fritadeira,Midea,0,0,0,0,0,
30-01-2018,ON SITE,Lava E Seca,Midea,Concluído,0,02-06-2018,02-06-2018,Sim,
01-12-2018,BALCÃO,Celular,Positivo,0,0,30-01-2018,31-01-2018,Sim,
30-01-2018,ON SITE,Ar Condicionado,Midea,Concluído,0,23-03-2018,23-03-2018,Sim,
01-12-2018,BALCÃO,Ntb,Acer,0,0,14-01-2018,24-01-2018,Sim,
30-01-2018,ON SITE,Lava E Seca,Midea,0,0,0,0,0,
01-12-2018,BALCÃO,Ntb,Acer,0,0,26-01-2018,27-01-2018,Sim,
02-01-2018,ON SITE,Ar Condicionado,Midea,Concluído,0,02-05-2018,02-05-2018,Sim,
01-12-2018,BALCÃO,Digtv,Positivo,Troca,0,0,30-01-2018,Não,
02-06-2018,ON SITE,Lava E Seca,Midea,Reembolso,0,23-02-2018,28-03-2018,Sim,
01-12-2018,BALCÃO,Desk,Positivo,0,0,16-01-2018,02-02-2018,Sim,
02-06-2018,ON SITE,Ar Condicionado,Midea,Concluído,0,02-08-2018,02-08-2018,Sim,
01-12-2018,BALCÃO,Ntb,Positivo,Concluído,0,02-01-2018,02-09-2018,Sim,
02-09-2018,ON SITE,Ar Condicionado,Midea,Cancelado,0,0,03-09-2018,Não,
01-12-2018,BALCÃO,Digtv,Positivo,Troca,0,0,23-01-2018,Não,
02-09-2018,ON SITE,Desk,Daten,Concluído,0,14-02-2018,14-02-2018,Sim,
13-01-2018,ETICKET,Microondas,Midea,0,0,30-01-2018,02-01-2018,Sim,
02-10-2018,ON SITE/RESIDENCIAL,Ar Condicionado,Midea,Concluído,0,15-02-2018,15-02-2018,Sim,
