DATA,TIPO DE AT.,APARELHO,MARCA,STATUS,PEÇA RECEBIDA,PRONTO,SAÍDA,CONSERTADO?
01-09-2020,ON SITE,Ar Condicionado,Lg,Concluído,0,01-10-2020,01-10-2020,Sim
01-09-2020,ON SITE,Ar Condicionado,Midea,Concluído,0,01-10-2020,01-10-2020,Sim
01-09-2020,ON SITE,Lava E Seca,Midea,Concluído,15-01-2020,16-01-2020,16-01-2020,Sim
01-09-2020,ETICKET,Aspirador,Midea,Concluído,21-01-2020,13-01-2020,15-01-2020,Sim
01-09-2020,ETICKET,Microondas,Midea,Concluído,21-01-2020,13-01-2020,14-01-2020,Sim
01-10-2020,BALCÃO,Robo,Wap,Concluído,0,01-11-2020,22-01-2020,Sim
01-10-2020,ETICKET,Microondas,Midea,Concluído,21-01-2020,13-01-2020,15-01-2020,Sim
01-10-2020,ON SITE,Refrigerador,Panasonic,Concluído,0,14-01-2020,14-01-2020,Sim
01-10-2020,BALCÃO,Aspirador,Midea,Concluído,0,15-01-2020,18-01-2020,Sim
01-10-2020,ETICKET,Aspirador,Midea,Concluído,0,13-01-2020,15-01-2020,Sim
01-10-2020,BALCÃO,Notebook,Dell,Sem Conserto,0,0,17-01-2020,Não
01-10-2020,ON SITE,Lavadora,Panasonic,Concluído,0,14-01-2020,14-01-2020,Sim
01-10-2020,ON SITE,Ar Condicionado,Midea,Concluído,0,01-11-2020,01-11-2020,Sim
01-11-2020,ON SITE,Lavadora,Panasonic,Concluído,22-01-2020,17-01-2020,17-01-2020,Sim
01-11-2020,ON SITE,Refrigerador,Panasonic,Concluído,0,14-01-2020,14-01-2020,Sim
01-11-2020,BALCÃO,Climatizador,Springer,Sem Defeito,0,16-01-2020,26-09-2020,Sim
01-11-2020,BALCÃO,Climatizador,Springer,Concluído,0,31-07-2020,26-09-2020,Sim
13-01-2020,BALCÃO,Microondas,Midea,Concluído,0,14-01-2020,15-01-2020,Sim
13-01-2020,BALCÃO,Ntb,Lenovo,Concluído,0,28-01-2020,28-01-2020,Sim
13-01-2020,ON SITE,Lavadora,Panasonic,0,0,0,0,0
13-01-2020,ON SITE,Lavadora,Panasonic,Concluído,22-01-2020,17-01-2020,17-01-2020,Sim
13-01-2020,ON SITE,Ar Condicionado,Springer,Concluído,0,13-01-2020,13-01-2020,Sim
13-01-2020,ETICKET,Robo,Midea,Concluído,0,14-01-2020,20-01-2020,Sim
13-01-2020,ETICKET,Aspirador,Midea,Concluído,0,15-01-2020,20-01-2020,Sim
13-01-2020,ON SITE,Ar Condicionado,Carrier,Concluído,0,20-01-2020,20-01-2020,Sim
13-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,14-01-2020,14-01-2020,Sim
13-01-2020,ETICKET,Aspirador,Midea,Concluído,0,15-01-2020,20-01-2020,Sim
13-01-2020,ETICKET,Microondas,Midea,Concluído,21-01-2020,14-01-2020,14-01-2020,Sim
14-01-2020,ON SITE,Ar Condicionado,Midea,Concluído,0,31-01-2020,31-01-2020,Sim
14-01-2020,BALCÃO,Robo,Midea,Concluído,0,25-01-2020,27-01-2020,Sim
14-01-2020,ON SITE,Lava E Seca,Midea,Concluído,0,14-01-2020,14-01-2020,Sim
14-01-2020,ETICKET,Robo,Midea,Concluído,0,21-01-2020,22-01-2020,Sim
14-01-2020,ON SITE,Lava E Seca,Midea,Cancelado,0,0,17-01-2020,Não
14-01-2020,ETICKET,Robo,Wap,Concluído,0,16-01-2020,17-01-2020,Sim
14-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,15-01-2020,15-01-2020,Sim
14-01-2020,ETICKET,Aspirador,Midea,Concluído,0,17-01-2020,22-01-2020,Sim
15-01-2020,ETICKET,Aspirador,Midea,Concluído,0,17-01-2020,21-01-2020,Sim
15-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,15-01-2020,15-01-2020,Sim
15-01-2020,BALCÃO,Microondas,Panasonic,Concluído,0,17-01-2020,21-01-2020,Sim
15-01-2020,ETICKET,Aspirador,Midea,Concluído,0,17-01-2020,22-01-2020,Sim
15-01-2020,ETICKET,Microondas,Midea,Concluído,0,23-01-2020,24-01-2020,Sim
16-01-2020,ON SITE,Ar Condicionado,Midea,Cancelado,0,0,23-01-2020,Não
16-01-2020,ON SITE,Ar Condicionado,Midea,Concluído,0,17-01-2020,17-01-2020,Sim
16-01-2020,ON SITE,Ar Condicionado,Eletrolux,Concluído,0,16-01-2020,16-01-2020,Sim
16-01-2020,ETICKET,Aspirador,Midea,Concluído,0,22-01-2020,24-01-2020,Sim
16-01-2020,BALCÃO,Purificador,Midea,Concluído,0,20-01-2020,21-03-2020,Sim
16-01-2020,ETICKET,Aspirador,Midea,Concluído,0,17-01-2020,02-03-2020,Sim
16-01-2020,ETICKET,Microondas,Midea,Concluído,0,17-01-2020,21-01-2020,Sim
16-01-2020,BALCÃO,Fritadeira,Midea,Concluído,0,13-04-2020,22-04-2020,Sim
17-01-2020,ON SITE,Ar Condicionado,Elgin,0,0,0,0,0
17-01-2020,ON SITE,Ar Condicionado,Elgin,0,0,0,0,0
17-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,22-01-2020,22-01-2020,Sim
17-01-2020,ON SITE,Refrigerador,Panasonic,Cancelada,0,0,22-01-2020,Não
17-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,22-01-2020,22-01-2020,Sim
17-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,22-01-2020,0,Sim
17-01-2020,ETICKET,Microondas,Midea,Concluído,0,18-01-2020,21-01-2020,Sim
17-01-2020,ON SITE,Ar Condicionado,Springer,Concluído,0,0,0,0
17-01-2020,ON SITE,Lava E Seca,Midea,Cancelado,0,0,02-03-2020,Não
17-01-2020,BALCÃO,Placa,Panasonic,Cancelado,0,0,29-01-2020,Não
17-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,20-01-2020,20-01-2020,Sim
18-01-2020,BALCÃO,Placa Cond,Carrier,0,0,0,0,0
18-01-2020,BALCÃO,Lavadora,Panasonic,Concluído,20-02-2020,20-02-2020,03-03-2020,Sim
18-01-2020,BALCÃO,Lava E Seca,Midea,Concluído,0,16-03-2020,18-03-2020,Sim
18-01-2020,ON SITE,Ar Condicionado,Carrier,Concluído,0,03-06-2020,03-06-2020,Sim
20-01-2020,ON SITE,Refrigerador,Panasonic,Concluído,0,28-01-2020,28-01-2020,Sim
20-01-2020,ON SITE,Refrigerador,Panasonic,Concluído,0,20-01-2020,20-01-2020,Sim
20-01-2020,ON SITE,Ar Condicionado,Midea,Sem Conserto,0,21-01-2020,21-01-2020,Não
20-01-2020,ON SITE,Refrigerador,Panasonic,Concluído,0,22-01-2020,22-01-2020,Sim
20-01-2020,ETICKET,Robo,Wap,Concluído,0,21-01-2020,24-01-2020,Sim
20-01-2020,ON SITE,Refrigerador,Panasonic,Concluído,0,22-01-2020,22-01-2020,Sim
20-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,31-01-2020,31-01-2020,Sim
20-01-2020,ETICKET,Robo,Midea,Concluído,0,22-01-2020,24-01-2020,Sim
20-01-2020,ON SITE,Ar Janela,Springer,Sem Defeito,0,0,23-01-2020,Não
20-01-2020,ETICKET,Robo,Wap,Sem Defeito,0,02-12-2020,20-02-2020,Não
20-01-2020,ETICKET,Aspirador,Midea,Concluído,0,23-01-2020,24-01-2020,Sim
20-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,24-01-2020,24-01-2020,Sim
20-01-2020,ON SITE,Lavadora,Panasonic,Sem Defeito,0,0,21-01-2020,Não
20-01-2020,ON SITE,Refrigerador,Panasonic,Sem Reparo,0,0,14-02-2020,Não
20-01-2020,ON SITE,Refrigerador,Panasonic,Concluído,14-02-2020,18-02-2020,18-02-2020,Sim
20-01-2020,ON SITE,Refrigerador,Panasonic,Concluído,0,22-01-2020,22-01-2020,Sim
21-01-2020,ON SITE,Lavadora,Eletrolux,Concluído,0,13-02-2020,13-02-2020,Sim
21-01-2020,ON SITE,Refrigerador,Panasonic,Concluído,0,24-01-2020,24-01-2020,Sim
21-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,25-01-2020,25-01-2020,Sim
21-01-2020,BALCÃO,Evaporadora,Carrier,Descarte,0,0,05-06-2020,Não
21-01-2020,BALCÃO,Condensadora,Carrier,Descarte,0,0,05-06-2020,Não
21-01-2020,ON SITE,Ar Condicionado,Carrier,Concluído,0,28-01-2020,28-01-2020,Sim
21-01-2020,ON SITE,Lavadora,Panasonic,Concluído,28-01-2020,22-01-2020,22-01-2020,Sim
21-01-2020,ON SITE,Lavadora,Panasonic,Concluído,0,22-01-2020,22-01-2020,Sim
21-01-2020,ON SITE,Frigobar,Midea,Concluído,0,13-02-2020,13-02-2020,Sim
21-01-2020,ON SITE,Lavadora,Panasonic,Cancelada,0,0,22-01-2020,Não
21-01-2020,ETICKET,Aspirador,Midea,Concluído,0,22-01-2020,28-01-2020,Sim
