DATA,TIPO DE AT.,APARELHO,MARCA,STATUS,PECA_RECEBIDA,PRONTO,SAIDA,CONSERTADO,TECNICO,TEMPO_CONSERTO,MES_ANO
30/03/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-04-14,2020-04-15,15/04/2020,sim,0,1,2020-04
30/03/2020,ETICKET,Aspirador,Midea,Concluído,2020-04-23,2020-09-04,15/04/2020,sim,0,134,2020-04
04/01/2020,ON SITE,Refrigerador,Panasonic,Concluído,2020-04-20,2020-04-22,22/04/2020,sim,0,2,2020-04
04/01/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-04-20,2020-04-23,23/04/2020,sim,0,3,2020-04
04/02/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-04-23,2020-07-04,04/07/2020,sim,0,72,2020-04
04/03/2020,ON SITE,Refrigerador,Panasonic,Concluído,2020-04-20,2020-04-23,23/04/2020,sim,0,3,2020-04
04/04/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-04-23,2020-04-24,24/04/2020,sim,0,1,2020-04
13/04/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-04-27,2020-05-05,05/05/2020,sim,0,8,2020-04
14/04/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-04-23,2020-04-24,24/04/2020,sim,0,1,2020-04
17/04/2020,ON SITE,Refrigerador,Panasonic,Concluído,2020-04-30,2020-05-05,05/05/2020,sim,0,5,2020-04
17/04/2020,ON SITE,Lava E Seca,Midea,Concluído,2020-04-29,2020-05-05,05/05/2020,sim,0,6,2020-04
17/04/2020,BALCÃO,Refrigerador,Panasonic,Concluído,2020-05-18,2020-05-30,06/10/2020,sim,0,12,2020-05
20/04/2020,ON SITE,Refrigerador,Panasonic,Concluído,2020-04-30,2020-05-05,05/05/2020,sim,0,5,2020-04
05/04/2020,ETICKET,Microondas,Midea,Concluído,2020-05-14,2020-06-05,05/08/2020,sim,0,22,2020-05
05/05/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-05-18,2020-08-05,05/08/2020,sim,0,79,2020-05
05/06/2020,ON SITE,Lavadora,Panasonic,Concluído,2020-05-22,2020-12-05,05/12/2020,sim,0,197,2020-05
05/07/2020,ON SITE,Refrigerador,Panasonic,Concluído,2020-05-21,2020-05-21,21/05/2020,sim,0,0,2020-05
05/07/2020,ON SITE,Refrigerador,Panasonic,Concluído,2020-05-18,2020-05-21,21/05/2020,sim,0,3,2020-05
05/08/2020,BALCÃO,Purificador,Midea,Concluído,2020-05-25,2020-05-29,25/08/2020,sim,0,4,2020-05
14/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
14/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
15/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
15/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
15/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
15/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
16/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
16/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
19/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
19/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
19/05/2020,ETICKET,Aspirador,Midea,Concluído,2020-06-16,2020-06-16,18/06/2020,sim,0,0,2020-06
22/05/2020,BALCÃO,Microondas,Panasonic,Concluído,2020-06-25,2020-06-25,26/06/2020,sim,0,0,2020-06
